,total,black,total,hispanic,median income,B25003_002E,B25003_003E,county,hs,somecollege,bach
"Block Group 3, Census Tract 8127.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812702> block group:3",1222,166,1222,144,32946,36,492,Hampden County,274,311,40
"Block Group 1, Census Tract 8121.04, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812104> block group:1",1282,74,1282,603,34226,190,321,Hampden County,575,279,135
"Block Group 2, Census Tract 8121.04, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812104> block group:2",1280,6,1280,554,55781,282,277,Hampden County,468,209,312
"Block Group 3, Census Tract 8121.04, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812104> block group:3",749,40,749,298,66328,169,110,Hampden County,136,199,101
"Block Group 4, Census Tract 8121.04, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812104> block group:4",1297,16,1297,448,74130,276,208,Hampden County,257,325,433
"Block Group 1, Census Tract 8122.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812201> block group:1",2347,122,2347,307,61932,431,336,Hampden County,758,546,428
"Block Group 2, Census Tract 8122.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812201> block group:2",925,86,925,102,42043,40,437,Hampden County,217,210,191
"Block Group 1, Census Tract 8122.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812202> block group:1",2030,137,2030,523,47337,238,863,Hampden County,366,364,705
"Block Group 2, Census Tract 8122.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812202> block group:2",671,24,671,190,43750,185,180,Hampden County,192,132,245
"Block Group 2, Census Tract 8123, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812300> block group:2",1429,38,1429,227,31665,161,540,Hampden County,428,318,158
"Block Group 1, Census Tract 8124.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812401> block group:1",1117,199,1117,10,100227,336,0,Hampden County,156,218,333
"Block Group 3, Census Tract 8124.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812401> block group:3",1452,0,1452,194,96324,558,52,Hampden County,287,366,497
"Block Group 4, Census Tract 8124.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812401> block group:4",2593,0,2593,20,98974,953,35,Hampden County,347,505,925
"Block Group 2, Census Tract 8124.03, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812403> block group:2",851,1,851,197,32143,165,345,Hampden County,251,236,188
"Block Group 3, Census Tract 8124.03, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812403> block group:3",1070,14,1070,43,61250,402,74,Hampden County,220,304,271
"Block Group 1, Census Tract 8124.04, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812404> block group:1",1983,0,1983,195,65455,508,162,Hampden County,624,242,314
"Block Group 2, Census Tract 8124.04, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812404> block group:2",2036,76,2036,55,103188,725,24,Hampden County,439,429,600
"Block Group 5, Census Tract 8125, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812500> block group:5",2386,124,2386,103,83333,774,74,Hampden County,524,478,661
"Block Group 1, Census Tract 8127.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812701> block group:1",1089,28,1089,46,39712,207,332,Hampden County,316,148,287
"Block Group 2, Census Tract 8127.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812701> block group:2",1478,11,1478,341,60857,228,286,Hampden County,472,242,185
"Block Group 3, Census Tract 8127.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812701> block group:3",1497,16,1497,183,45216,281,338,Hampden County,488,199,243
"Block Group 3, Census Tract 8128, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812800> block group:3",2700,2,2700,76,60568,968,136,Hampden County,798,650,607
"Block Group 1, Census Tract 8131.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813101> block group:1",2102,0,2102,0,69141,729,216,Hampden County,550,396,632
"Block Group 2, Census Tract 8131.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813101> block group:2",1281,2,1281,0,48750,298,222,Hampden County,318,321,330
"Block Group 3, Census Tract 8131.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813101> block group:3",2550,2,2550,104,95857,796,140,Hampden County,406,612,772
"Block Group 1, Census Tract 8131.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813102> block group:1",1369,0,1369,36,90536,559,31,Hampden County,357,359,413
"Block Group 2, Census Tract 8131.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813102> block group:2",2425,0,2425,30,87813,779,31,Hampden County,511,631,539
"Block Group 1, Census Tract 8132.05, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813205> block group:1",2292,154,2292,2,71571,901,193,Hampden County,569,668,741
"Block Group 2, Census Tract 8132.05, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813205> block group:2",969,0,969,80,73917,264,59,Hampden County,418,161,146
"Block Group 1, Census Tract 8132.07, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813207> block group:1",2461,0,2461,341,61923,712,168,Hampden County,469,554,541
"Block Group 2, Census Tract 8132.07, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813207> block group:2",548,0,548,76,48125,174,128,Hampden County,209,152,155
"Block Group 1, Census Tract 8132.08, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813208> block group:1",1609,2,1609,2,75962,546,20,Hampden County,284,364,477
"Block Group 2, Census Tract 8132.08, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813208> block group:2",1399,0,1399,46,67188,408,222,Hampden County,350,370,316
"Block Group 2, Census Tract 8132.09, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813209> block group:2",1724,0,1724,54,63125,765,70,Hampden County,446,475,475
"Block Group 3, Census Tract 8132.09, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813209> block group:3",3385,55,3385,23,55905,809,492,Hampden County,1043,748,705
"Block Group 1, Census Tract 8133.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813301> block group:1",2278,0,2278,15,95917,851,120,Hampden County,361,231,1077
"Block Group 3, Census Tract 8133.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813301> block group:3",1921,0,1921,0,67014,814,47,Hampden County,306,344,839
"Block Group 1, Census Tract 8133.03, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813303> block group:1",1991,8,1991,100,147979,731,9,Hampden County,174,209,1045
"Block Group 1, Census Tract 8133.04, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813304> block group:1",1853,0,1853,50,138816,661,3,Hampden County,178,277,854
"Block Group 2, Census Tract 8133.04, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813304> block group:2",1179,0,1179,7,142656,409,0,Hampden County,68,176,600
"Block Group 1, Census Tract 8104.03, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810403> block group:1",1308,54,1308,92,52273,325,249,Hampden County,514,280,133
"Block Group 2, Census Tract 8104.03, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810403> block group:2",1587,44,1587,260,36278,239,367,Hampden County,551,228,276
"Block Group 3, Census Tract 8104.03, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810403> block group:3",1123,0,1123,50,44444,205,261,Hampden County,541,227,96
"Block Group 2, Census Tract 8104.04, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810404> block group:2",2384,34,2384,64,56563,618,389,Hampden County,921,463,382
"Block Group 2, Census Tract 8104.12, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810412> block group:2",2566,67,2566,151,85223,743,112,Hampden County,1161,353,443
"Block Group 3, Census Tract 8104.12, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810412> block group:3",1681,24,1681,64,69271,556,62,Hampden County,715,350,208
"Block Group 2, Census Tract 8104.14, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810414> block group:2",1526,0,1526,217,63047,519,48,Hampden County,520,342,263
"Block Group 3, Census Tract 8104.14, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810414> block group:3",3537,0,3537,60,97361,1098,146,Hampden County,957,720,889
"Block Group 5, Census Tract 8107, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810700> block group:5",1580,62,1580,326,43088,283,465,Hampden County,462,491,206
"Block Group 1, Census Tract 8108, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810800> block group:1",1522,46,1522,306,40032,216,472,Hampden County,468,329,239
"Block Group 4, Census Tract 8109.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810902> block group:4",665,28,665,448,32308,50,190,Hampden County,156,39,79
"Block Group 4, Census Tract 8111.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811101> block group:4",803,111,803,150,43750,106,190,Hampden County,207,177,81
"Block Group 1, Census Tract 8111.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811102> block group:1",1528,106,1528,784,32850,155,428,Hampden County,657,137,128
"Block Group 2, Census Tract 8111.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811102> block group:2",2008,191,2008,983,27414,334,450,Hampden County,756,148,173
"Block Group 3, Census Tract 8111.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811102> block group:3",1133,0,1133,0,70078,437,44,Hampden County,423,249,243
"Block Group 1, Census Tract 8113.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811301> block group:1",1122,20,1122,289,63670,232,270,Hampden County,407,269,173
"Block Group 2, Census Tract 8113.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811301> block group:2",1095,0,1095,69,90469,308,42,Hampden County,290,331,145
"Block Group 3, Census Tract 8113.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811301> block group:3",2189,63,2189,165,51851,528,533,Hampden County,541,758,389
"Block Group 5, Census Tract 8113.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811302> block group:5",1773,162,1773,102,43214,722,144,Hampden County,566,609,214
"Block Group 2, Census Tract 8115, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811500> block group:2",1041,44,1041,951,16094,4,312,Hampden County,348,143,6
"Block Group 3, Census Tract 8116, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811600> block group:3",449,6,449,362,-666666666,71,78,Hampden County,241,66,18
"Block Group 2, Census Tract 8119, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811900> block group:2",1120,78,1120,39,67778,364,186,Hampden County,240,214,462
"Block Group 2, Census Tract 8120.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812001> block group:2",725,163,725,384,31402,63,151,Hampden County,190,98,127
"Block Group 3, Census Tract 8120.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812001> block group:3",522,0,522,325,23109,11,290,Hampden County,284,25,22
"Block Group 1, Census Tract 8120.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812002> block group:1",2168,45,2168,1353,43500,287,489,Hampden County,413,460,277
"Block Group 2, Census Tract 8120.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812002> block group:2",765,79,765,20,59662,84,174,Hampden County,279,144,179
"Block Group 4, Census Tract 8120.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812002> block group:4",811,54,811,155,88375,225,92,Hampden County,203,173,244
"Block Group 1, Census Tract 8121.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812101> block group:1",874,0,874,27,78005,372,25,Hampden County,95,244,404
"Block Group 3, Census Tract 8121.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812101> block group:3",1149,21,1149,431,-666666666,249,16,Hampden County,254,360,201
